"_id","objectid","project_name","address","status","description","image","project_url","project_type","image_alt_text","takedown_date","ward_name","ward_number","globalid","geometry"
32,34,"Alexandra Park Improvements ","275 Bathurst Street","In progress","The City is improving Alexandra Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2022/02/9543-alexandra-park-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/alexandra-park-improvements/","Park or Facility Improvements","A photograph of Alexandra Park taken on a sunny day. An open law area and ball diamond are in the foreground, with mature trees and the CN Tower in the background.","None","Spadina-Fort York","10","ff2fa8bd-95fa-438e-bb3d-f4c23f13cfdc",c(-79.4050451601033, 43.6511082603193)
33,35,"Tom Riley Park Playground Improvements","4725 Dundas Street West ","In progress","The City is improving the playground at Tom Riley Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/07/95b9-tom-riley-park-playground-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/tom-riley-park-playground-improvements/","Playground Improvements","A wide shot of Tom Riley Park, with the playground and swings in the background.","None","Etobicoke Centre","02","6d268e07-3550-4c5a-baed-2dfac2a5ca9a",c(-79.5259681597976, 43.6513079095766)
34,36,"Centennial Park Master Plan Update","256 Centennial Park Road ","Complete","The City has completed the Master Plan Update for Centennial Park to provide a new vision, objectives and action items to guide changes in the park over the next 20 years.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/centennial-park-master-plan/","Master Plan or Study","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Etobicoke Centre","02","54cc9afc-d51e-402b-b1d1-3b61417f84ea",c(-79.5929318605866, 43.6516961603765)
35,37,"New Parks in the Moss Park Neighbourhood","None","In progress","Two new parks are coming to the Moss Park neighbourhood. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-north-st-lawrence-neighbourhood/","New Park","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Toronto Centre","13","0e9f01f4-68c9-4101-a234-6eb37f276fdc",c(-79.3665983594999, 43.651838609666)
36,38,"Fred Hamilton Playground and Wading Pool Enhancements","155 Roxton Road ","In progress","The City is improving the playground and wading pool at Fred Hamilton Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2021/04/8f71-fred-hamilton-playground-wading-pool-enhancements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/fred-hamilton-playground-wading-pool-enhancements/","Park or Facility Improvements","An image of the existing Fred Hamilton playground and wading pool. The medium-sized wading pool is drained with concrete surfacing. The playground has two slides, a swing set, various stand-alone toys and sits on top of sand play surfacing.","None","University-Rosedale","11","1c70673f-cd1c-4b2c-b296-4c3c9df15df5",c(-79.4204378305532, 43.6527403704426)
37,40,"New Parks in the Moss Park Neighbourhood","None","In progress","Two new parks are coming to the Moss Park neighbourhood. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-north-st-lawrence-neighbourhood/","New Park","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Toronto Centre","13","c724d70b-f0e9-4bc2-a4fc-facf839953f4",c(-79.3678958205742, 43.6539411899038)
38,42,"Moss Park & John Innes Community Recreation Centre Improvements","150 Sherbourne Street ","In progress","The City is improving Moss Park and John Innes Community Recreation Centre. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/03/96d3-moss-park-revitalization-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/moss-park-redevelopment/","Park or Facility Improvements","Playground equipment on a sunny day at Moss Park.","None","Toronto Centre","13","0def5ce8-4775-4c91-a886-e2f0cf9b0beb",c(-79.3704001996956, 43.655396129925)
39,43,"Corktown Common Neighbourhood Dogs Off-Leash Area","150 Bayview Avenue ","In progress","After investigating four potential sites, the City will be installing a new dogs off-leash area (OLA) in the western portion of Underpass Park which is bounded by St. Lawrence Street, Eastern Avenue and the Eastern Avenue Diversion.","https://www.toronto.ca/wp-content/uploads/2022/03/95b0-corktown-common-neighbourhood-ola-banner.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/corktown-common-neighbourhood-dogs-off-leash-area/","Park or Facility Improvements","An artist rendering of the dogs off-leash area (OLA) in Underpass Park, which shows an enclosed area for dogs, with grass surrounded by a black fence. The area surrounding the OLA has landscaping and plants and is surrounded by a concrete seatwall and pathways. The OLA is just below an overpass.","None","Toronto Centre","13","28f35f7e-c015-4052-b1b1-de38f6a548b8",c(-79.3551844300399, 43.6554404599161)
40,44,"Cashman Park Improvements","4 Langmuir Crescent ","In progress","The City is improving Cashman Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/07/8eea-cashman-park-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/cashman-park-improvements/","Park or Facility Improvements","Cashman Park, with the park sign out front and playground equipment and swings in the back.","None","Parkdale-High Park","04","3e5c7467-8ed0-4d43-b414-51161244435d",c(-79.4936774800271, 43.6556620699319)
41,45,"Glasgow Street Parkette and Streetscape Improvements","11 Glasgow St","In progress","The City is improving Glasgow Street Parkette. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2018/02/9457-Glagow-St-Parkette-perspective-Cropped.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/glasgow-st-parkette-and-streetscape-improvements/","Park or Facility Improvements","Glasgow St Parkette","None","University-Rosedale","11","7b42117f-df62-4a2b-a5cc-5c6fe6233001",c(-79.3983949703738, 43.6567309095581)
